"1963 , 155 , NA , NA"
"1973 , 84 , NA , NA"
"1974 , 84 , NA , NA"
"1975 , 84 , NA , NA"
"1976 , 84 , NA , NA"
"1977 , 84 , NA , NA"
"1978 , 84 , NA , NA"
"1979 , 84 , NA , NA"
"1980 , 84 , NA , NA"
"1981 , 84 , NA , NA"
"1982 , 84 , NA , NA"
"1983 , 84 , NA , NA"
"1984 , 84 , NA , NA"
"1985 , 84 , NA , NA"
"1986 , 84 , NA , NA"
"1987 , 84 , NA , NA"
"1988 , 84 , NA , NA"
"1989 , 84 , NA , NA"
"1990 , 84 , NA , NA"
"1991 , 84 , NA , NA"
"1992 , 84 , NA , NA"
"1993 , 84 , NA , NA"
"1994 , 84 , NA , NA"
"1995 , 84 , NA , NA"
"1996 , 84 , NA , NA"
"1997 , 84 , NA , NA"
"1998 , 84 , NA , NA"
"1999 , 84 , NA , NA"
"2000 , 84 , NA , NA"
"2001 , 84 , NA , NA"
"2002 , 84 , NA , NA"
"2003 , 84 , NA , NA"
"2004 , 84 , NA , NA"
"2005 , 84 , NA , NA"
"2006 , 84 , NA , NA"
"2007 , 84 , NA , NA"
"2008 , 84 , NA , NA"
"2009 , 84 , NA , NA"
"2010 , 84 , NA , NA"
"2011 , 84 , NA , NA"
"2012 , 84 , NA , NA"
"2013 , 84 , NA , NA"
"2014 , 84 , NA , NA"
"2015 , 84 , NA , NA"
"2016 , 84 , NA , NA"
"1963 , 104 , NA , NA"
"1964 , 104 , NA , NA"
"1965 , 104 , NA , NA"
"1966 , 104 , NA , NA"
"1967 , 104 , NA , NA"
"1968 , 104 , NA , NA"
"1969 , 104 , NA , NA"
"1970 , 104 , NA , NA"
"1971 , 104 , NA , NA"
"1972 , 104 , NA , NA"
"1973 , 104 , NA , NA"
"1974 , 104 , NA , NA"
"1975 , 104 , NA , NA"
"1976 , 104 , NA , NA"
"1977 , 104 , NA , NA"
"1978 , 104 , NA , NA"
"1979 , 104 , NA , NA"
"1980 , 104 , NA , NA"
"1981 , 104 , NA , NA"
"1982 , 104 , NA , NA"
"1983 , 104 , NA , NA"
"1984 , 104 , NA , NA"
"1985 , 104 , NA , NA"
"1986 , 104 , NA , NA"
"1987 , 104 , NA , NA"
"1988 , 104 , NA , NA"
"1989 , 104 , NA , NA"
"1990 , 104 , NA , NA"
"1991 , 104 , NA , NA"
"1992 , 104 , NA , NA"
"1993 , 104 , NA , NA"
"1994 , 104 , NA , NA"
"1995 , 104 , NA , NA"
"1996 , 104 , NA , NA"
"1997 , 104 , NA , NA"
"1998 , 104 , NA , NA"
"1999 , 104 , NA , NA"
"2000 , 104 , NA , NA"
"2001 , 104 , NA , NA"
"2002 , 104 , NA , NA"
"2003 , 104 , NA , NA"
"2004 , 104 , NA , NA"
"2005 , 104 , NA , NA"
"2006 , 104 , NA , NA"
"2007 , 104 , NA , NA"
"2008 , 104 , NA , NA"
"2009 , 104 , NA , NA"
"2010 , 104 , NA , NA"
"2011 , 104 , NA , NA"
"2012 , 104 , NA , NA"
"2013 , 104 , NA , NA"
"2014 , 104 , NA , NA"
"2015 , 104 , NA , NA"
"2016 , 104 , NA , NA"
"1963 , 109 , NA , NA"
"1964 , 109 , NA , NA"
"1965 , 109 , NA , NA"
"1966 , 109 , NA , NA"
"1967 , 109 , NA , NA"
"1968 , 109 , NA , NA"
"1969 , 109 , NA , NA"
"1970 , 109 , NA , NA"
"1971 , 109 , NA , NA"
"1972 , 109 , NA , NA"
"1973 , 109 , NA , NA"
"1974 , 109 , NA , NA"
"1975 , 109 , NA , NA"
"1976 , 109 , NA , NA"
"1977 , 109 , NA , NA"
"1978 , 109 , NA , NA"
"1979 , 109 , NA , NA"
"1980 , 109 , NA , NA"
"1981 , 109 , NA , NA"
"1982 , 109 , NA , NA"
"1983 , 109 , NA , NA"
"1984 , 109 , NA , NA"
"1985 , 109 , NA , NA"
"1986 , 109 , NA , NA"
"1987 , 109 , NA , NA"
"1988 , 109 , NA , NA"
"1989 , 109 , NA , NA"
"1990 , 109 , NA , NA"
"1991 , 109 , NA , NA"
"1992 , 109 , NA , NA"
"1993 , 109 , NA , NA"
"1994 , 109 , NA , NA"
"1995 , 109 , NA , NA"
"1996 , 109 , NA , NA"
"1997 , 109 , NA , NA"
"1998 , 109 , NA , NA"
"1999 , 109 , NA , NA"
"2000 , 109 , NA , NA"
"2001 , 109 , NA , NA"
"2002 , 109 , NA , NA"
"2003 , 109 , NA , NA"
"2004 , 109 , NA , NA"
"2005 , 109 , NA , NA"
"2006 , 109 , NA , NA"
"2007 , 109 , NA , NA"
"2008 , 109 , NA , NA"
"2009 , 109 , NA , NA"
"2010 , 109 , NA , NA"
"2011 , 109 , NA , NA"
"2012 , 109 , NA , NA"
"2013 , 109 , NA , NA"
"2014 , 109 , NA , NA"
"2015 , 109 , NA , NA"
"2016 , 109 , NA , NA"
"1963 , 74 , NA , NA"
"1964 , 74 , NA , NA"
"1965 , 74 , NA , NA"
"1966 , 74 , NA , NA"
"1967 , 74 , NA , NA"
"1968 , 74 , NA , NA"
"1969 , 74 , NA , NA"
"1970 , 74 , NA , NA"
"1971 , 74 , NA , NA"
"1972 , 74 , NA , NA"
"1973 , 74 , NA , NA"
"1974 , 74 , NA , NA"
"1975 , 74 , NA , NA"
"1976 , 74 , NA , NA"
"1977 , 74 , NA , NA"
"1978 , 74 , NA , NA"
"1979 , 74 , NA , NA"
"1980 , 74 , NA , NA"
"1981 , 74 , NA , NA"
"1982 , 74 , NA , NA"
"1983 , 74 , NA , NA"
"1984 , 74 , NA , NA"
"1985 , 74 , NA , NA"
"1986 , 74 , NA , NA"
"1987 , 74 , NA , NA"
"1988 , 74 , NA , NA"
"1989 , 74 , NA , NA"
"1990 , 74 , NA , NA"
"1991 , 74 , NA , NA"
"1992 , 74 , NA , NA"
"1993 , 74 , NA , NA"
"1994 , 74 , NA , NA"
"1995 , 74 , NA , NA"
"1996 , 74 , NA , NA"
"1997 , 74 , NA , NA"
"1998 , 74 , NA , NA"
"1999 , 74 , NA , NA"
"2000 , 74 , NA , NA"
"2001 , 74 , NA , NA"
"2002 , 74 , NA , NA"
"2003 , 74 , NA , NA"
"2004 , 74 , NA , NA"
"2005 , 74 , NA , NA"
"2006 , 74 , NA , NA"
"2007 , 74 , NA , NA"
"2008 , 74 , NA , NA"
"2009 , 74 , NA , NA"
"2010 , 74 , NA , NA"
"2011 , 74 , NA , NA"
"2012 , 74 , NA , NA"
"2013 , 74 , NA , NA"
"2014 , 74 , NA , NA"
"2015 , 74 , NA , NA"
"2016 , 74 , NA , NA"
"1963 , 26 , NA , NA"
"1964 , 26 , NA , NA"
"1965 , 26 , NA , NA"
"1966 , 26 , NA , NA"
"1967 , 26 , NA , NA"
"1968 , 26 , NA , NA"
"1969 , 26 , NA , NA"
"1970 , 26 , NA , NA"
"1971 , 26 , NA , NA"
"1972 , 26 , NA , NA"
"1973 , 26 , NA , NA"
"1974 , 26 , NA , NA"
"1975 , 26 , NA , NA"
"1976 , 26 , NA , NA"
"1977 , 26 , NA , NA"
"1978 , 26 , NA , NA"
"1979 , 26 , NA , NA"
"1980 , 26 , NA , NA"
"1981 , 26 , NA , NA"
"1982 , 26 , NA , NA"
"1983 , 26 , NA , NA"
"1984 , 26 , NA , NA"
"1985 , 26 , NA , NA"
"1986 , 26 , NA , NA"
"1987 , 26 , NA , NA"
"1988 , 26 , NA , NA"
"1989 , 26 , NA , NA"
"1990 , 26 , NA , NA"
"1991 , 26 , NA , NA"
"1992 , 26 , NA , NA"
"1993 , 26 , NA , NA"
"1994 , 26 , NA , NA"
"1995 , 26 , NA , NA"
"1996 , 26 , NA , NA"
"1997 , 26 , NA , NA"
"1998 , 26 , NA , NA"
"1999 , 26 , NA , NA"
"2000 , 26 , NA , NA"
"2001 , 26 , NA , NA"
"2002 , 26 , NA , NA"
"2003 , 26 , NA , NA"
"2004 , 26 , NA , NA"
"2005 , 26 , NA , NA"
"2006 , 26 , NA , NA"
"2007 , 26 , NA , NA"
"2008 , 26 , NA , NA"
"2009 , 26 , NA , NA"
"2010 , 26 , NA , NA"
"2011 , 26 , NA , NA"
"2012 , 26 , NA , NA"
"2013 , 26 , NA , NA"
"2014 , 26 , NA , NA"
"2015 , 26 , NA , NA"
"2016 , 26 , NA , NA"
"1963 , 503 , NA , NA"
"1964 , 503 , NA , NA"
"1965 , 503 , NA , NA"
"1966 , 503 , NA , NA"
"1967 , 503 , NA , NA"
"1968 , 503 , NA , NA"
"1969 , 503 , NA , NA"
"1970 , 503 , NA , NA"
"1971 , 503 , NA , NA"
"1972 , 503 , NA , NA"
"1973 , 503 , NA , NA"
"1974 , 503 , NA , NA"
"1975 , 503 , NA , NA"
"1976 , 503 , NA , NA"
"1977 , 503 , NA , NA"
"1978 , 503 , NA , NA"
"1979 , 503 , NA , NA"
"1980 , 503 , NA , NA"
"1981 , 503 , NA , NA"
"1982 , 503 , NA , NA"
"1983 , 503 , NA , NA"
"1984 , 503 , NA , NA"
"1985 , 503 , NA , NA"
"1986 , 503 , NA , NA"
"1987 , 503 , NA , NA"
"1988 , 503 , NA , NA"
"1989 , 503 , NA , NA"
"1990 , 503 , NA , NA"
"1991 , 503 , NA , NA"
"1992 , 503 , NA , NA"
"1993 , 503 , NA , NA"
"1994 , 503 , NA , NA"
"1995 , 503 , NA , NA"
"1996 , 503 , NA , NA"
"1997 , 503 , NA , NA"
"1998 , 503 , NA , NA"
"1999 , 503 , NA , NA"
"2000 , 503 , NA , NA"
"2001 , 503 , NA , NA"
"2002 , 503 , NA , NA"
"2003 , 503 , NA , NA"
"2004 , 503 , NA , NA"
"2005 , 503 , NA , NA"
"2006 , 503 , NA , NA"
"2007 , 503 , NA , NA"
"2008 , 503 , NA , NA"
"2009 , 503 , NA , NA"
"2010 , 503 , NA , NA"
"2011 , 503 , NA , NA"
"2012 , 503 , NA , NA"
"2013 , 503 , NA , NA"
"2014 , 503 , NA , NA"
"2015 , 503 , NA , NA"
"2016 , 503 , NA , NA"
"1963 , 163 , NA , NA"
"1964 , 163 , NA , NA"
"1965 , 163 , NA , NA"
"1966 , 163 , NA , NA"
"1967 , 163 , NA , NA"
"1968 , 163 , NA , NA"
"1969 , 163 , NA , NA"
"1970 , 163 , NA , NA"
"1971 , 163 , NA , NA"
"1972 , 163 , NA , NA"
"1973 , 163 , NA , NA"
"1974 , 163 , NA , NA"
"1975 , 163 , NA , NA"
"1976 , 163 , NA , NA"
"1977 , 163 , NA , NA"
"1978 , 163 , NA , NA"
"1979 , 163 , NA , NA"
"1980 , 163 , NA , NA"
"1981 , 163 , NA , NA"
"1982 , 163 , NA , NA"
"1983 , 163 , NA , NA"
"1984 , 163 , NA , NA"
"1985 , 163 , NA , NA"
"1986 , 163 , NA , NA"
"1987 , 163 , NA , NA"
"1988 , 163 , NA , NA"
"1989 , 163 , NA , NA"
"1990 , 163 , NA , NA"
"1991 , 163 , NA , NA"
"1992 , 163 , NA , NA"
"1993 , 163 , NA , NA"
"1994 , 163 , NA , NA"
"1995 , 163 , NA , NA"
"1996 , 163 , NA , NA"
"1997 , 163 , NA , NA"
"1998 , 163 , NA , NA"
"1999 , 163 , NA , NA"
"2000 , 163 , NA , NA"
"2001 , 163 , NA , NA"
"2002 , 163 , NA , NA"
"2003 , 163 , NA , NA"
"2004 , 163 , NA , NA"
"2005 , 163 , NA , NA"
"2006 , 163 , NA , NA"
"2007 , 163 , NA , NA"
"2008 , 163 , NA , NA"
"2009 , 163 , NA , NA"
"2010 , 163 , NA , NA"
"2011 , 163 , NA , NA"
"2012 , 163 , NA , NA"
"2013 , 163 , NA , NA"
"2014 , 163 , NA , NA"
"2015 , 163 , NA , NA"
"2016 , 163 , NA , NA"
"1963 , 197 , NA , NA"
"1964 , 197 , NA , NA"
"1965 , 197 , NA , NA"
"1966 , 197 , NA , NA"
"1967 , 197 , NA , NA"
"1968 , 197 , NA , NA"
"1969 , 197 , NA , NA"
"1970 , 197 , NA , NA"
"1971 , 197 , NA , NA"
"1972 , 197 , NA , NA"
"1973 , 197 , NA , NA"
"1974 , 197 , NA , NA"
"1975 , 197 , NA , NA"
"1976 , 197 , NA , NA"
"1977 , 197 , NA , NA"
"1978 , 197 , NA , NA"
"1979 , 197 , NA , NA"
"1980 , 197 , NA , NA"
"1981 , 197 , NA , NA"
"1982 , 197 , NA , NA"
"1983 , 197 , NA , NA"
"1984 , 197 , NA , NA"
"1985 , 197 , NA , NA"
"1986 , 197 , NA , NA"
"1987 , 197 , NA , NA"
"1988 , 197 , NA , NA"
"1989 , 197 , NA , NA"
"1990 , 197 , NA , NA"
"1991 , 197 , NA , NA"
"1992 , 197 , NA , NA"
"1993 , 197 , NA , NA"
"1994 , 197 , NA , NA"
"1995 , 197 , NA , NA"
"1996 , 197 , NA , NA"
"1997 , 197 , NA , NA"
"1998 , 197 , NA , NA"
"1999 , 197 , NA , NA"
"2000 , 197 , NA , NA"
"2001 , 197 , NA , NA"
"2002 , 197 , NA , NA"
"2003 , 197 , NA , NA"
"2004 , 197 , NA , NA"
"2005 , 197 , NA , NA"
"2006 , 197 , NA , NA"
"2007 , 197 , NA , NA"
"2008 , 197 , NA , NA"
"2009 , 197 , NA , NA"
"2010 , 197 , NA , NA"
"2011 , 197 , NA , NA"
"2012 , 197 , NA , NA"
"2013 , 197 , NA , NA"
"2014 , 197 , NA , NA"
"2015 , 197 , NA , NA"
"2016 , 197 , NA , NA"
"1963 , 171 , NA , NA"
"1964 , 171 , NA , NA"
"1965 , 171 , NA , NA"
"1966 , 171 , NA , NA"
"1967 , 171 , NA , NA"
"1968 , 171 , NA , NA"
"1969 , 171 , NA , NA"
"1970 , 171 , NA , NA"
"1971 , 171 , NA , NA"
"1972 , 171 , NA , NA"
"1973 , 171 , NA , NA"
"1974 , 171 , NA , NA"
"1975 , 171 , NA , NA"
"1976 , 171 , NA , NA"
"1977 , 171 , NA , NA"
"1978 , 171 , NA , NA"
"1979 , 171 , NA , NA"
"1980 , 171 , NA , NA"
"1981 , 171 , NA , NA"
"1982 , 171 , NA , NA"
"1983 , 171 , NA , NA"
"1984 , 171 , NA , NA"
"1985 , 171 , NA , NA"
"1986 , 171 , NA , NA"
"1987 , 171 , NA , NA"
"1988 , 171 , NA , NA"
"1989 , 171 , NA , NA"
"1990 , 171 , NA , NA"
"1991 , 171 , NA , NA"
"1992 , 171 , NA , NA"
"1993 , 171 , NA , NA"
"1994 , 171 , NA , NA"
"1995 , 171 , NA , NA"
"1996 , 171 , NA , NA"
"1997 , 171 , NA , NA"
"1998 , 171 , NA , NA"
"1999 , 171 , NA , NA"
"2000 , 171 , NA , NA"
"2001 , 171 , NA , NA"
"2002 , 171 , NA , NA"
"2003 , 171 , NA , NA"
"2004 , 171 , NA , NA"
"2005 , 171 , NA , NA"
"2006 , 171 , NA , NA"
"2007 , 171 , NA , NA"
"2008 , 171 , NA , NA"
"2009 , 171 , NA , NA"
"2010 , 171 , NA , NA"
"2011 , 171 , NA , NA"
"2012 , 171 , NA , NA"
"2013 , 171 , NA , NA"
"2014 , 171 , NA , NA"
"2015 , 171 , NA , NA"
"2016 , 171 , NA , NA"
"1963 , 193 , NA , NA"
"1964 , 193 , NA , NA"
"1965 , 193 , NA , NA"
"1966 , 193 , NA , NA"
"1967 , 193 , NA , NA"
"1968 , 193 , NA , NA"
"1969 , 193 , NA , NA"
"1970 , 193 , NA , NA"
"1971 , 193 , NA , NA"
"1972 , 193 , NA , NA"
"1973 , 193 , NA , NA"
"1974 , 193 , NA , NA"
"1975 , 193 , NA , NA"
"1976 , 193 , NA , NA"
"1977 , 193 , NA , NA"
"1978 , 193 , NA , NA"
"1979 , 193 , NA , NA"
"1980 , 193 , NA , NA"
"1981 , 193 , NA , NA"
"1982 , 193 , NA , NA"
"1983 , 193 , NA , NA"
"1984 , 193 , NA , NA"
"1985 , 193 , NA , NA"
"1986 , 193 , NA , NA"
"1987 , 193 , NA , NA"
"1988 , 193 , NA , NA"
"1989 , 193 , NA , NA"
"1990 , 193 , NA , NA"
"1991 , 193 , NA , NA"
"1992 , 193 , NA , NA"
"1993 , 193 , NA , NA"
"1994 , 193 , NA , NA"
"1995 , 193 , NA , NA"
"1996 , 193 , NA , NA"
"1997 , 193 , NA , NA"
"1998 , 193 , NA , NA"
"1999 , 193 , NA , NA"
"2000 , 193 , NA , NA"
"2001 , 193 , NA , NA"
"2002 , 193 , NA , NA"
"2003 , 193 , NA , NA"
"2004 , 193 , NA , NA"
"2005 , 193 , NA , NA"
"2006 , 193 , NA , NA"
"2007 , 193 , NA , NA"
"2008 , 193 , NA , NA"
"2009 , 193 , NA , NA"
"2010 , 193 , NA , NA"
"2011 , 193 , NA , NA"
"2012 , 193 , NA , NA"
"2013 , 193 , NA , NA"
"2014 , 193 , NA , NA"
"2015 , 193 , NA , NA"
"2016 , 193 , NA , NA"
"1963 , 75 , NA , NA"
"1964 , 75 , NA , NA"
"1965 , 75 , NA , NA"
"1966 , 75 , NA , NA"
"1967 , 75 , NA , NA"
"1968 , 75 , NA , NA"
"1969 , 75 , NA , NA"
"1970 , 75 , NA , NA"
"1971 , 75 , NA , NA"
"1972 , 75 , NA , NA"
"1973 , 75 , NA , NA"
"1974 , 75 , NA , NA"
"1975 , 75 , NA , NA"
"1976 , 75 , NA , NA"
"1977 , 75 , NA , NA"
"1978 , 75 , NA , NA"
"1979 , 75 , NA , NA"
"1980 , 75 , NA , NA"
"1981 , 75 , NA , NA"
"1982 , 75 , NA , NA"
"1983 , 75 , NA , NA"
"1984 , 75 , NA , NA"
"1985 , 75 , NA , NA"
"1986 , 75 , NA , NA"
"1987 , 75 , NA , NA"
"1988 , 75 , NA , NA"
"1989 , 75 , NA , NA"
"1990 , 75 , NA , NA"
"1991 , 75 , NA , NA"
"1992 , 75 , NA , NA"
"1993 , 75 , NA , NA"
"1994 , 75 , NA , NA"
"1995 , 75 , NA , NA"
"1996 , 75 , NA , NA"
"1997 , 75 , NA , NA"
"1998 , 75 , NA , NA"
"1999 , 75 , NA , NA"
"2000 , 75 , NA , NA"
"2001 , 75 , NA , NA"
"2002 , 75 , NA , NA"
"2003 , 75 , NA , NA"
"2004 , 75 , NA , NA"
"2005 , 75 , NA , NA"
"2006 , 75 , NA , NA"
"2007 , 75 , NA , NA"
"2008 , 75 , NA , NA"
"2009 , 75 , NA , NA"
"2010 , 75 , NA , NA"
"2011 , 75 , NA , NA"
"2012 , 75 , NA , NA"
"2013 , 75 , NA , NA"
"2014 , 75 , NA , NA"
"2015 , 75 , NA , NA"
"2016 , 75 , NA , NA"
"1963 , 77 , NA , NA"
"1964 , 77 , NA , NA"
"1965 , 77 , NA , NA"
"1966 , 77 , NA , NA"
"1967 , 77 , NA , NA"
"1968 , 77 , NA , NA"
"1969 , 77 , NA , NA"
"1970 , 77 , NA , NA"
"1971 , 77 , NA , NA"
"1972 , 77 , NA , NA"
"1973 , 77 , NA , NA"
"1974 , 77 , NA , NA"
"1975 , 77 , NA , NA"
"1976 , 77 , NA , NA"
"1977 , 77 , NA , NA"
"1978 , 77 , NA , NA"
"1979 , 77 , NA , NA"
"1980 , 77 , NA , NA"
"1981 , 77 , NA , NA"
"1982 , 77 , NA , NA"
"1983 , 77 , NA , NA"
"1984 , 77 , NA , NA"
"1985 , 77 , NA , NA"
"1986 , 77 , NA , NA"
"1987 , 77 , NA , NA"
"1988 , 77 , NA , NA"
"1989 , 77 , NA , NA"
"1990 , 77 , NA , NA"
"1991 , 77 , NA , NA"
"1992 , 77 , NA , NA"
"1993 , 77 , NA , NA"
"1994 , 77 , NA , NA"
"1995 , 77 , NA , NA"
"1996 , 77 , NA , NA"
"1997 , 77 , NA , NA"
"1998 , 77 , NA , NA"
"1999 , 77 , NA , NA"
"2000 , 77 , NA , NA"
"2001 , 77 , NA , NA"
"2002 , 77 , NA , NA"
"2003 , 77 , NA , NA"
"2004 , 77 , NA , NA"
"2005 , 77 , NA , NA"
"2006 , 77 , NA , NA"
"2007 , 77 , NA , NA"
"2008 , 77 , NA , NA"
"2009 , 77 , NA , NA"
"2010 , 77 , NA , NA"
"2011 , 77 , NA , NA"
"2012 , 77 , NA , NA"
"2013 , 77 , NA , NA"
"2014 , 77 , NA , NA"
"2015 , 77 , NA , NA"
"2016 , 77 , NA , NA"
"1963 , 25 , NA , NA"
"1964 , 25 , NA , NA"
"1965 , 25 , NA , NA"
"1966 , 25 , NA , NA"
"1967 , 25 , NA , NA"
"1968 , 25 , NA , NA"
"1969 , 25 , NA , NA"
"1970 , 25 , NA , NA"
"1971 , 25 , NA , NA"
"1972 , 25 , NA , NA"
"1973 , 25 , NA , NA"
"1974 , 25 , NA , NA"
"1975 , 25 , NA , NA"
"1976 , 25 , NA , NA"
"1977 , 25 , NA , NA"
"1978 , 25 , NA , NA"
"1979 , 25 , NA , NA"
"1980 , 25 , NA , NA"
"1981 , 25 , NA , NA"
"1982 , 25 , NA , NA"
"1983 , 25 , NA , NA"
"1984 , 25 , NA , NA"
"1985 , 25 , NA , NA"
"1986 , 25 , NA , NA"
"1987 , 25 , NA , NA"
"1988 , 25 , NA , NA"
"1989 , 25 , NA , NA"
"1990 , 25 , NA , NA"
"1991 , 25 , NA , NA"
"1992 , 25 , NA , NA"
"1993 , 25 , NA , NA"
"1994 , 25 , NA , NA"
"1995 , 25 , NA , NA"
"1996 , 25 , NA , NA"
"1997 , 25 , NA , NA"
"1998 , 25 , NA , NA"
"1999 , 25 , NA , NA"
"2000 , 25 , NA , NA"
"2001 , 25 , NA , NA"
"2002 , 25 , NA , NA"
"2003 , 25 , NA , NA"
"2004 , 25 , NA , NA"
"2005 , 25 , NA , NA"
"2006 , 25 , NA , NA"
"2007 , 25 , NA , NA"
"2008 , 25 , NA , NA"
"2009 , 25 , NA , NA"
"2010 , 25 , NA , NA"
"2011 , 25 , NA , NA"
"2012 , 25 , NA , NA"
"2013 , 25 , NA , NA"
"2014 , 25 , NA , NA"
"2015 , 25 , NA , NA"
"2016 , 25 , NA , NA"
"1963 , 181 , NA , NA"
"1964 , 181 , NA , NA"
"1965 , 181 , NA , NA"
"1966 , 181 , NA , NA"
"1967 , 181 , NA , NA"
"1968 , 181 , NA , NA"
"1969 , 181 , NA , NA"
"1970 , 181 , NA , NA"
"1971 , 181 , NA , NA"
"1972 , 181 , NA , NA"
"1973 , 181 , NA , NA"
"1974 , 181 , NA , NA"
"1975 , 181 , NA , NA"
"1976 , 181 , NA , NA"
"1977 , 181 , NA , NA"
"1978 , 181 , NA , NA"
"1979 , 181 , NA , NA"
"1980 , 181 , NA , NA"
"1981 , 181 , NA , NA"
"1982 , 181 , NA , NA"
"1983 , 181 , NA , NA"
"1984 , 181 , NA , NA"
"1985 , 181 , NA , NA"
"1986 , 181 , NA , NA"
"1987 , 181 , NA , NA"
"1988 , 181 , NA , NA"
"1989 , 181 , NA , NA"
"1990 , 181 , NA , NA"
"1991 , 181 , NA , NA"
"1992 , 181 , NA , NA"
"1993 , 181 , NA , NA"
"1994 , 181 , NA , NA"
"1995 , 181 , NA , NA"
"1996 , 181 , NA , NA"
"1997 , 181 , NA , NA"
"1998 , 181 , NA , NA"
"1999 , 181 , NA , NA"
"2000 , 181 , NA , NA"
"2001 , 181 , NA , NA"
"2002 , 181 , NA , NA"
"2003 , 181 , NA , NA"
"2004 , 181 , NA , NA"
"2005 , 181 , NA , NA"
"2006 , 181 , NA , NA"
"2007 , 181 , NA , NA"
"2008 , 181 , NA , NA"
"2009 , 181 , NA , NA"
"2010 , 181 , NA , NA"
"2011 , 181 , NA , NA"
"2012 , 181 , NA , NA"
"2013 , 181 , NA , NA"
"2014 , 181 , NA , NA"
"2015 , 181 , NA , NA"
"2016 , 181 , NA , NA"
"1963 , 143 , NA , NA"
"1964 , 143 , NA , NA"
"1965 , 143 , NA , NA"
"1966 , 143 , NA , NA"
"1967 , 143 , NA , NA"
"1968 , 143 , NA , NA"
"1969 , 143 , NA , NA"
"1970 , 143 , NA , NA"
"1971 , 143 , NA , NA"
"1972 , 143 , NA , NA"
"1973 , 143 , NA , NA"
"1974 , 143 , NA , NA"
"1975 , 143 , NA , NA"
"1976 , 143 , NA , NA"
"1977 , 143 , NA , NA"
"1978 , 143 , NA , NA"
"1979 , 143 , NA , NA"
"1980 , 143 , NA , NA"
"1981 , 143 , NA , NA"
"1982 , 143 , NA , NA"
"1983 , 143 , NA , NA"
"1984 , 143 , NA , NA"
"1985 , 143 , NA , NA"
"1986 , 143 , NA , NA"
"1987 , 143 , NA , NA"
"1988 , 143 , NA , NA"
"1989 , 143 , NA , NA"
"1990 , 143 , NA , NA"
"1991 , 143 , NA , NA"
"1992 , 143 , NA , NA"
"1993 , 143 , NA , NA"
"1994 , 143 , NA , NA"
"1995 , 143 , NA , NA"
"1996 , 143 , NA , NA"
"1997 , 143 , NA , NA"
"1998 , 143 , NA , NA"
"1999 , 143 , NA , NA"
"2000 , 143 , NA , NA"
"2001 , 143 , NA , NA"
"2002 , 143 , NA , NA"
"2003 , 143 , NA , NA"
"2004 , 143 , NA , NA"
"2005 , 143 , NA , NA"
"2006 , 143 , NA , NA"
"2007 , 143 , NA , NA"
"2008 , 143 , NA , NA"
"2009 , 143 , NA , NA"
"2010 , 143 , NA , NA"
"2011 , 143 , NA , NA"
"2012 , 143 , NA , NA"
"2013 , 143 , NA , NA"
"2014 , 143 , NA , NA"
"2015 , 143 , NA , NA"
"2016 , 143 , NA , NA"
"1963 , 164 , NA , NA"
"1964 , 164 , NA , NA"
"1965 , 164 , NA , NA"
"1966 , 164 , NA , NA"
"1967 , 164 , NA , NA"
"1968 , 164 , NA , NA"
"1969 , 164 , NA , NA"
"1970 , 164 , NA , NA"
"1971 , 164 , NA , NA"
"1972 , 164 , NA , NA"
"1973 , 164 , NA , NA"
"1974 , 164 , NA , NA"
"1975 , 164 , NA , NA"
"1976 , 164 , NA , NA"
"1977 , 164 , NA , NA"
"1978 , 164 , NA , NA"
"1979 , 164 , NA , NA"
"1980 , 164 , NA , NA"
"1981 , 164 , NA , NA"
"1982 , 164 , NA , NA"
"1983 , 164 , NA , NA"
"1984 , 164 , NA , NA"
"1985 , 164 , NA , NA"
"1986 , 164 , NA , NA"
"1987 , 164 , NA , NA"
"1988 , 164 , NA , NA"
"1989 , 164 , NA , NA"
"1990 , 164 , NA , NA"
"1991 , 164 , NA , NA"
"1992 , 164 , NA , NA"
"1993 , 164 , NA , NA"
"1994 , 164 , NA , NA"
"1995 , 164 , NA , NA"
"1996 , 164 , NA , NA"
"1997 , 164 , NA , NA"
"1998 , 164 , NA , NA"
"1999 , 164 , NA , NA"
"2000 , 164 , NA , NA"
"2001 , 164 , NA , NA"
"2002 , 164 , NA , NA"
"2003 , 164 , NA , NA"
"2004 , 164 , NA , NA"
"2005 , 164 , NA , NA"
"2006 , 164 , NA , NA"
"2007 , 164 , NA , NA"
"2008 , 164 , NA , NA"
"2009 , 164 , NA , NA"
"2010 , 164 , NA , NA"
"2011 , 164 , NA , NA"
"2012 , 164 , NA , NA"
"2013 , 164 , NA , NA"
"2014 , 164 , NA , NA"
"2015 , 164 , NA , NA"
"2016 , 164 , NA , NA"
"1963 , 401 , NA , NA"
"1964 , 401 , NA , NA"
"1965 , 401 , NA , NA"
"1966 , 401 , NA , NA"
"1967 , 401 , NA , NA"
"1968 , 401 , NA , NA"
"1969 , 401 , NA , NA"
"1970 , 401 , NA , NA"
"1971 , 401 , NA , NA"
"1972 , 401 , NA , NA"
"1973 , 401 , NA , NA"
"1974 , 401 , NA , NA"
"1975 , 401 , NA , NA"
"1976 , 401 , NA , NA"
"1977 , 401 , NA , NA"
"1978 , 401 , NA , NA"
"1979 , 401 , NA , NA"
"1980 , 401 , NA , NA"
"1981 , 401 , NA , NA"
"1982 , 401 , NA , NA"
